product_name,brewery,stats
Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,"You:
Not rated
From:
Toppling Goliath Brewing Company
  Iowa, United States
Style:
American Imperial Stout
Ranked #1
ABV:
12%
Score:
100
Ranked #1
Avg:
4.83 | pDev: 7.04%
Reviews:
192
Ratings:
953
Status:
Active
Rated:
Sep 04, 2025
Added:
Feb 26, 2012 by siradmiralnelson
Wants:
  4,130
Gots:
  134"
Marshmallow Handjee,3 Floyds Brewing Co.,"You:
Not rated
From:
3 Floyds Brewing Co.
  Indiana, United States
Style:
Russian Imperial Stout
Ranked #1
ABV:
15%
Score:
100
Ranked #2
Avg:
4.73 | pDev: 8.25%
Reviews:
353
Ratings:
1,832
Status:
Active
Rated:
Jul 04, 2025
Added:
Apr 26, 2008 by mcallister
Wants:
  4,737
Gots:
  330"
Abraxas - Barrel-Aged,Perennial Artisan Ales,"You:
Not rated
From:
Perennial Artisan Ales
  Missouri, United States
Style:
American Imperial Stout
Ranked #3
ABV:
12.8%
Score:
100
Ranked #3
Avg:
4.73 | pDev: 6.34%
Reviews:
192
Ratings:
1,721
Status:
Active
Rated:
Sep 12, 2025
Added:
Nov 17, 2012 by Etan
Wants:
  2,607
Gots:
  250"
R&D Sour Fruit (Very Sour Blackberry),New Glarus Brewing Company,"You:
Not rated
From:
New Glarus Brewing Company
  Wisconsin, United States
Style:
Wild Ale
Ranked #1
ABV:
5%
Score:
100
Ranked #4
Avg:
4.75 | pDev: 6.95%
Reviews:
63
Ratings:
408
Status:
Active
Rated:
Sep 16, 2025
Added:
Aug 19, 2013 by thebigredone
Wants:
  804
Gots:
  43"
Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,"You:
Not rated
From:
Cigar City Brewing
  Florida, United States
Style:
American Imperial Stout
Ranked #4
ABV:
11%
Score:
100
Ranked #5
Avg:
4.71 | pDev: 7.86%
Reviews:
171
Ratings:
1,672
Status:
Active
Rated:
May 27, 2025
Added:
Jan 16, 2014 by GatorLCA
Wants:
  1,827
Gots:
  247"
Heady Topper,The Alchemist,"You:
Not rated
From:
The Alchemist
  Vermont, United States
Style:
Imperial IPA
Ranked #1
ABV:
8%
Score:
100
Ranked #6
Avg:
4.7 | pDev: 7.02%
Reviews:
2,795
Ratings:
15,382
Status:
Active
Rated:
Aug 31, 2025
Added:
Mar 26, 2004 by scottum
Wants:
  9,872
Gots:
  6,654"
Mornin' Delight,Toppling Goliath Brewing Company,"You:
Not rated
From:
Toppling Goliath Brewing Company
  Iowa, United States
Style:
American Imperial Stout
Ranked #6
ABV:
12.8%
Score:
100
Ranked #7
Avg:
4.7 | pDev: 7.45%
Reviews:
315
Ratings:
1,795
Status:
Active
Rated:
Sep 12, 2025
Added:
Dec 17, 2011 by Pintofbrown
Wants:
  2,745
Gots:
  219"
King Julius,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #1
ABV:
8.2%
Score:
100
Ranked #8
Avg:
4.7 | pDev: 6.6%
Reviews:
300
Ratings:
1,704
Status:
Active
Rated:
Sep 07, 2025
Added:
Dec 08, 2012 by jlindros
Wants:
  1,411
Gots:
  371"
Pliny The Younger,Russian River Brewing Company,"You:
Not rated
From:
Russian River Brewing Company
  California, United States
Style:
Imperial IPA
Ranked #2
ABV:
10.25%
Score:
100
Ranked #9
Avg:
4.69 | pDev: 7.25%
Reviews:
1,044
Ratings:
3,600
Status:
Active
Rated:
Aug 09, 2025
Added:
Jan 27, 2005 by xlperro
Wants:
  6,814
Gots:
  612"
King JJJuliusss,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #2
ABV:
8.4%
Score:
100
Ranked #10
Avg:
4.7 | pDev: 6.81%
Reviews:
186
Ratings:
1,004
Status:
Active
Rated:
Saturday at 02:10 PM
Added:
Jun 24, 2016 by Dicers
Wants:
  483
Gots:
  126"
